sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,status,stdout_log,stderr_log,artifacts_created,artifacts_reused,blocker,claim_allowed
11,baseline_replay,python3 -m certgen replay verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-08-12T10:50:27.593591Z,2026-08-12T10:50:27.719273Z,0.125260,0,PASS,reports/icml2027/deep_repair/command_logs/0011_baseline_replay.stdout.log,reports/icml2027/deep_repair/command_logs/0011_baseline_replay.stderr.log,,,,False
12,baseline_privacy,"python3 -c 'from certgen.release.privacy_scan import scan_privacy; issues=scan_privacy(); print({""passed"":not issues,""issues"":issues}); raise SystemExit(bool(issues))'",.,2026-08-12T10:50:27.791076Z,2026-08-12T10:50:27.851685Z,0.060159,0,PASS,reports/icml2027/deep_repair/command_logs/0012_baseline_privacy.stdout.log,reports/icml2027/deep_repair/command_logs/0012_baseline_privacy.stderr.log,,,,False
13,baseline_secrets,"python3 -c 'from scripts.generate_execution_reports import secret_scan; findings=secret_scan(); print({""passed"":not findings,""findings"":findings}); raise SystemExit(bool(findings))'",.,2026-08-12T10:50:27.924522Z,2026-08-12T10:50:28.097179Z,0.172246,0,PASS,reports/icml2027/deep_repair/command_logs/0013_baseline_secrets.stdout.log,reports/icml2027/deep_repair/command_logs/0013_baseline_secrets.stderr.log,,,,False
14,baseline_restricted_assets,"python3 -c 'from scripts.generate_execution_reports import large_file_audit; rows,blockers=large_file_audit(); restricted=[r for r in rows if r[""classification""]==""restricted_model_asset"" and r[""tracked""]==""true""]; print({""passed"":not blockers and not restricted,""blockers"":blockers,""restricted"":restricted}); raise SystemExit(bool(blockers or restricted))'",.,2026-08-12T10:50:28.169932Z,2026-08-12T10:50:28.721020Z,0.550681,0,PASS,reports/icml2027/deep_repair/command_logs/0014_baseline_restricted_assets.stdout.log,reports/icml2027/deep_repair/command_logs/0014_baseline_restricted_assets.stderr.log,,,,False
15,baseline_release_scan,python3 -m certgen.cli.run_release_safety_scan,.,2026-08-12T10:50:28.793607Z,2026-08-12T10:50:28.893395Z,0.099393,0,PASS,reports/icml2027/deep_repair/command_logs/0015_baseline_release_scan.stdout.log,reports/icml2027/deep_repair/command_logs/0015_baseline_release_scan.stderr.log,,,,False
16,baseline_ruff,python3 -m ruff check certgen scripts tests,.,2026-08-12T10:50:37.680635Z,2026-08-12T10:50:37.767630Z,0.086648,0,PASS,reports/icml2027/deep_repair/command_logs/0016_baseline_ruff.stdout.log,reports/icml2027/deep_repair/command_logs/0016_baseline_ruff.stderr.log,,,,False
17,baseline_changed_mypy,python3 -m mypy --follow-imports=skip certgen/icml2027 certgen/__main__.py scripts/icml2027 tests/icml2027,.,2026-08-12T10:50:37.837930Z,2026-08-12T10:50:38.418288Z,0.579927,0,PASS,reports/icml2027/deep_repair/command_logs/0017_baseline_changed_mypy.stdout.log,reports/icml2027/deep_repair/command_logs/0017_baseline_changed_mypy.stderr.log,,,,False
18,baseline_full_mypy_debt,python3 -m mypy certgen scripts,.,2026-08-12T10:50:38.489451Z,2026-08-12T10:50:53.388321Z,14.898381,1,EXPECTED_BOUNDARY,reports/icml2027/deep_repair/command_logs/0018_baseline_full_mypy_debt.stdout.log,reports/icml2027/deep_repair/command_logs/0018_baseline_full_mypy_debt.stderr.log,,,,False
19,baseline_diff_check,git diff --check,.,2026-08-12T10:50:53.516726Z,2026-08-12T10:50:53.556907Z,0.039832,0,PASS,reports/icml2027/deep_repair/command_logs/0019_baseline_diff_check.stdout.log,reports/icml2027/deep_repair/command_logs/0019_baseline_diff_check.stderr.log,,,,False
20,baseline_freeze,python3 scripts/icml2027/build_deep_repair_baseline.py,.,2026-08-12T10:53:18.654528Z,2026-08-12T10:53:18.786795Z,0.131869,0,PASS,reports/icml2027/deep_repair/command_logs/0020_baseline_freeze.stdout.log,reports/icml2027/deep_repair/command_logs/0020_baseline_freeze.stderr.log,"reports/icml2027/deep_repair/CERTGEN_DEEP_REPAIR_BASELINE.md,reports/icml2027/deep_repair/CERTGEN_DEEP_REPAIR_ARTIFACT_INVENTORY.csv",,,False
21,paired_mmd_performance,python3 -m certgen icml2027 audit paired-performance --out reports/icml2027/deep_repair/PAIRED_MMD_PERFORMANCE_AUDIT.csv,.,2026-08-12T11:21:20.983673Z,2026-08-12T11:21:21.972149Z,0.987782,0,PASS,reports/icml2027/deep_repair/command_logs/0021_paired_mmd_performance.stdout.log,reports/icml2027/deep_repair/command_logs/0021_paired_mmd_performance.stderr.log,reports/icml2027/deep_repair/PAIRED_MMD_PERFORMANCE_AUDIT.csv,,,False
22,production_mmd_quick,python3 -m certgen icml2027 production-mmd validate --config configs/icml2027/production_mmd_validation.yaml --out-dir artifacts/icml2027/production_mmd/quick,.,2026-08-12T11:21:28.641572Z,2026-08-12T11:21:35.829168Z,7.187178,0,PASS,reports/icml2027/deep_repair/command_logs/0022_production_mmd_quick.stdout.log,reports/icml2027/deep_repair/command_logs/0022_production_mmd_quick.stderr.log,"artifacts/icml2027/production_mmd/quick/raw_records.csv,artifacts/icml2027/production_mmd/quick/summary.json,artifacts/icml2027/production_mmd/quick/summary.csv",,,False
23,production_mmd_null100,python3 -m certgen icml2027 production-mmd validate --config configs/icml2027/production_mmd_validation_null100.yaml --out-dir artifacts/icml2027/production_mmd/null100,.,2026-08-12T11:21:42.143965Z,2026-08-12T11:21:42.467404Z,0.322963,0,PASS,reports/icml2027/deep_repair/command_logs/0023_production_mmd_null100.stdout.log,reports/icml2027/deep_repair/command_logs/0023_production_mmd_null100.stderr.log,"artifacts/icml2027/production_mmd/null100/raw_records.csv,artifacts/icml2027/production_mmd/null100/summary.json",,,False
24,production_mmd_bounded_stress,python3 -m certgen icml2027 production-mmd validate --config configs/icml2027/production_mmd_validation_stress.yaml --out-dir artifacts/icml2027/production_mmd/bounded_stress,.,2026-08-12T11:21:59.558489Z,2026-08-12T11:22:12.053765Z,12.494622,0,PASS,reports/icml2027/deep_repair/command_logs/0024_production_mmd_bounded_stress.stdout.log,reports/icml2027/deep_repair/command_logs/0024_production_mmd_bounded_stress.stderr.log,"artifacts/icml2027/production_mmd/bounded_stress/raw_records.csv,artifacts/icml2027/production_mmd/bounded_stress/summary.json",,,False
25,anytime_boundary_benchmark,python3 -m certgen icml2027 audit boundary --config configs/icml2027/anytime_boundary_benchmark.yaml --out-dir artifacts/icml2027/boundary_benchmark,.,2026-08-12T11:22:20.139905Z,2026-08-12T11:22:21.829389Z,1.689027,0,PASS,reports/icml2027/deep_repair/command_logs/0025_anytime_boundary_benchmark.stdout.log,reports/icml2027/deep_repair/command_logs/0025_anytime_boundary_benchmark.stderr.log,"artifacts/icml2027/boundary_benchmark/ANYTIME_BOUNDARY_COMPARISON.csv,artifacts/icml2027/boundary_benchmark/ANYTIME_BOUNDARY_COMPARISON.summary.json",,,False
26,production_numerical_attacks,python3 -m certgen icml2027 audit production-numerical --out-dir artifacts/icml2027/numerical_attacks/production_paired_mmd,.,2026-08-12T11:22:27.521239Z,2026-08-12T11:22:27.890517Z,0.368852,0,PASS,reports/icml2027/deep_repair/command_logs/0026_production_numerical_attacks.stdout.log,reports/icml2027/deep_repair/command_logs/0026_production_numerical_attacks.stderr.log,"artifacts/icml2027/numerical_attacks/production_paired_mmd/numerical_attacks.csv,artifacts/icml2027/numerical_attacks/production_paired_mmd/numerical_attacks.summary.json",,,False
27,icml_notebook_rehearsals,python3 -m certgen icml2027 notebooks rehearse --out-dir reports/icml2027/notebook_rehearsals,.,2026-08-12T11:22:32.224790Z,2026-08-12T11:22:32.856938Z,0.631728,0,PASS,reports/icml2027/deep_repair/command_logs/0027_icml_notebook_rehearsals.stdout.log,reports/icml2027/deep_repair/command_logs/0027_icml_notebook_rehearsals.stderr.log,"reports/icml2027/notebook_rehearsals/closure_rehearsals.csv,reports/icml2027/notebook_rehearsals/closure_rehearsals.summary.json",,,False
28,hard_multi_model_stress,python3 -m certgen icml2027 multi-model run --config configs/icml2027/multi_model_hard_stress.yaml --out-dir reports/icml2027/multi_model_hard_stress,.,2026-08-12T11:22:39.795956Z,2026-08-12T11:22:42.311109Z,2.514719,0,PASS,reports/icml2027/deep_repair/command_logs/0028_hard_multi_model_stress.stdout.log,reports/icml2027/deep_repair/command_logs/0028_hard_multi_model_stress.stderr.log,"reports/icml2027/multi_model_hard_stress/MULTI_MODEL_SCALING.csv,reports/icml2027/multi_model_hard_stress/MULTI_MODEL_SCALING_SUMMARY.json",,,False
29,power_aware_planning,python3 -m certgen icml2027 plan power --config configs/icml2027/power_replication_plan.yaml --out-dir reports/icml2027/production_mmd,.,2026-08-12T11:22:55.631619Z,2026-08-12T11:22:55.753145Z,0.121103,0,PASS,reports/icml2027/deep_repair/command_logs/0029_power_aware_planning.stdout.log,reports/icml2027/deep_repair/command_logs/0029_power_aware_planning.stderr.log,"reports/icml2027/production_mmd/POWER_AWARE_PLANNING.csv,reports/icml2027/production_mmd/POWER_AWARE_PLANNING.summary.json",,,False
30,c2st_highdim_benchmark,python3 -m certgen icml2027 audit c2st --out-dir reports/icml2027/baselines,.,2026-08-12T11:23:36.315857Z,2026-08-12T11:23:39.502099Z,3.185727,0,PASS,reports/icml2027/deep_repair/command_logs/0030_c2st_highdim_benchmark.stdout.log,reports/icml2027/deep_repair/command_logs/0030_c2st_highdim_benchmark.stderr.log,"reports/icml2027/baselines/C2ST_HIGH_DIMENSION.csv,reports/icml2027/baselines/C2ST_HIGH_DIMENSION.summary.json",,,False
31,reviewer_contract_regression,python3 -m certgen icml2027 reviewer-attack run --config configs/icml2027/reviewer_attacks.yaml --out-dir reports/icml2027/reviewer_attacks/contract,.,2026-08-12T11:23:48.836353Z,2026-08-12T11:23:48.965905Z,0.129068,2,FAIL,reports/icml2027/deep_repair/command_logs/0031_reviewer_contract_regression.stdout.log,reports/icml2027/deep_repair/command_logs/0031_reviewer_contract_regression.stderr.log,"reports/icml2027/reviewer_attacks/contract/reviewer_attack_results.csv,reports/icml2027/reviewer_attacks/contract/reviewer_attack_summary.json",,,False
32,reviewer_contract_regression_retry,python3 -m certgen icml2027 reviewer-attack run --config configs/icml2027/reviewer_attack_suite.yaml --out-dir reports/icml2027/reviewer_attacks/contract,.,2026-08-12T11:23:58.166851Z,2026-08-12T11:23:58.323334Z,0.155973,0,PASS,reports/icml2027/deep_repair/command_logs/0032_reviewer_contract_regression_retry.stdout.log,reports/icml2027/deep_repair/command_logs/0032_reviewer_contract_regression_retry.stderr.log,"reports/icml2027/reviewer_attacks/contract/reviewer_attack_results.csv,reports/icml2027/reviewer_attacks/contract/reviewer_attack_summary.json",,,False
33,adaptive_policy_comparison,python3 -m certgen icml2027 adaptive run --config configs/icml2027/adaptive_allocation.yaml --out reports/icml2027/adaptive/ADAPTIVE_ALLOCATION_COMPARISON.csv,.,2026-08-12T11:24:04.132630Z,2026-08-12T11:24:06.677173Z,2.543980,0,PASS,reports/icml2027/deep_repair/command_logs/0033_adaptive_policy_comparison.stdout.log,reports/icml2027/deep_repair/command_logs/0033_adaptive_policy_comparison.stderr.log,"reports/icml2027/adaptive/ADAPTIVE_ALLOCATION_COMPARISON.csv,reports/icml2027/adaptive/ADAPTIVE_ALLOCATION_COMPARISON.summary.json",,,False
34,compact_release_verification,python3 -m certgen release build-archive --out release/certgen_icml2027_deep_repair_source.zip,.,2026-08-12T11:24:54.766718Z,2026-08-12T11:25:03.681935Z,8.914722,0,PASS,reports/icml2027/deep_repair/command_logs/0034_compact_release_verification.stdout.log,reports/icml2027/deep_repair/command_logs/0034_compact_release_verification.stderr.log,"release/certgen_icml2027_deep_repair_source.zip,release/certgen_icml2027_deep_repair_source.zip.manifest.json",,,False
35,compact_release_verification_privacy_fix,python3 -m certgen release build-archive --out release/certgen_icml2027_deep_repair_source.zip,.,2026-08-12T11:25:32.129594Z,2026-08-12T11:25:40.841833Z,8.711752,0,PASS,reports/icml2027/deep_repair/command_logs/0035_compact_release_verification_privacy_fix.stdout.log,reports/icml2027/deep_repair/command_logs/0035_compact_release_verification_privacy_fix.stderr.log,"release/certgen_icml2027_deep_repair_source.zip,release/certgen_icml2027_deep_repair_source.zip.manifest.json",,,False
36,compact_release_final,python3 -m certgen release build-archive --out release/certgen_icml2027_deep_repair_source.zip --no-tests,.,2026-08-12T11:26:02.920566Z,2026-08-12T11:26:03.438692Z,0.517653,0,PASS,reports/icml2027/deep_repair/command_logs/0036_compact_release_final.stdout.log,reports/icml2027/deep_repair/command_logs/0036_compact_release_final.stderr.log,"release/certgen_icml2027_deep_repair_source.zip,release/certgen_icml2027_deep_repair_source.zip.manifest.json",,,False
37,compact_release_final_portable_tests,python3 -m certgen release build-archive --out release/certgen_icml2027_deep_repair_source.zip,.,2026-08-12T11:26:14.367170Z,2026-08-12T11:26:23.475640Z,9.107940,0,PASS,reports/icml2027/deep_repair/command_logs/0037_compact_release_final_portable_tests.stdout.log,reports/icml2027/deep_repair/command_logs/0037_compact_release_final_portable_tests.stderr.log,"release/certgen_icml2027_deep_repair_source.zip,release/certgen_icml2027_deep_repair_source.zip.manifest.json",,,False
38,finalize_deep_repair_reports,python3 scripts/icml2027/finalize_deep_repair.py,.,2026-08-12T11:28:27.270103Z,2026-08-12T11:28:27.351786Z,0.081315,0,PASS,reports/icml2027/deep_repair/command_logs/0038_finalize_deep_repair_reports.stdout.log,reports/icml2027/deep_repair/command_logs/0038_finalize_deep_repair_reports.stderr.log,"reports/icml2027/deep_repair/CERTGEN_DEEP_REPAIR_CURRENT_STATE.json,reports/icml2027/CERTGEN_ICML2027_CURRENT_STATE_V2.json,CERTGEN_CANONICAL_CURRENT_FILES.md,reports/icml2027/deep_repair/CERTGEN_DEEP_REPAIR_FINAL_AUDIT.md",,,False
39,final_ruff,python3 -m ruff check certgen scripts tests,.,2026-08-12T11:29:03.392773Z,2026-08-12T11:29:03.494694Z,0.101531,1,FAIL,reports/icml2027/deep_repair/command_logs/0039_final_ruff.stdout.log,reports/icml2027/deep_repair/command_logs/0039_final_ruff.stderr.log,,,,False
40,final_ruff_retry,python3 -m ruff check certgen scripts tests,.,2026-08-12T11:29:16.369824Z,2026-08-12T11:29:16.514257Z,0.144016,0,PASS,reports/icml2027/deep_repair/command_logs/0040_final_ruff_retry.stdout.log,reports/icml2027/deep_repair/command_logs/0040_final_ruff_retry.stderr.log,,,,False
41,final_normal_pytest,python3 -m pytest -q,.,2026-08-12T11:29:20.273301Z,2026-08-12T11:29:40.104164Z,19.830294,0,PASS,reports/icml2027/deep_repair/command_logs/0041_final_normal_pytest.stdout.log,reports/icml2027/deep_repair/command_logs/0041_final_normal_pytest.stderr.log,,,,False
42,final_full_marker_pytest,python3 -m pytest -q -m 'integration_audit or not integration_audit',.,2026-08-12T11:29:45.141294Z,2026-08-12T11:31:24.484324Z,99.342274,1,FAIL,reports/icml2027/deep_repair/command_logs/0042_final_full_marker_pytest.stdout.log,reports/icml2027/deep_repair/command_logs/0042_final_full_marker_pytest.stderr.log,,,,False
43,finalize_reports_release_path,python3 scripts/icml2027/finalize_deep_repair.py,.,2026-08-12T11:32:13.960322Z,2026-08-12T11:32:14.082975Z,0.121990,0,PASS,reports/icml2027/deep_repair/command_logs/0043_finalize_reports_release_path.stdout.log,reports/icml2027/deep_repair/command_logs/0043_finalize_reports_release_path.stderr.log,,,,False
44,full_marker_failure_diagnosis_v5,python3 -m pytest -q tests/test_v5_audit.py -m integration_audit,.,2026-08-12T11:32:14.169189Z,2026-08-12T11:32:35.831100Z,21.661344,0,PASS,reports/icml2027/deep_repair/command_logs/0044_full_marker_failure_diagnosis_v5.stdout.log,reports/icml2027/deep_repair/command_logs/0044_full_marker_failure_diagnosis_v5.stderr.log,,,,False
45,final_changed_mypy,python3 -m mypy --follow-imports=skip certgen/icml2027 certgen/metrics/kernels.py certgen/metrics/streams.py certgen/stats/reference_sampling.py certgen/stats/cs.py certgen/certs/api.py certgen/release/archive.py scripts/icml2027 tests/icml2027,.,2026-08-12T11:32:41.706520Z,2026-08-12T11:32:43.027240Z,1.320156,1,FAIL,reports/icml2027/deep_repair/command_logs/0045_final_changed_mypy.stdout.log,reports/icml2027/deep_repair/command_logs/0045_final_changed_mypy.stderr.log,,,,False
46,final_production_mmd_null100_wilson_fix,python3 -m certgen icml2027 production-mmd validate --config configs/icml2027/production_mmd_validation_null100.yaml --out-dir artifacts/icml2027/production_mmd/null100,.,2026-08-12T11:36:39.603329Z,2026-08-12T11:36:39.950259Z,0.346041,0,PASS,reports/icml2027/deep_repair/command_logs/0046_final_production_mmd_null100_wilson_fix.stdout.log,reports/icml2027/deep_repair/command_logs/0046_final_production_mmd_null100_wilson_fix.stderr.log,artifacts/icml2027/production_mmd/null100/summary.json,,,False
47,final_production_mmd_quick,python3 -m certgen icml2027 production-mmd validate --config configs/icml2027/production_mmd_validation.yaml --out-dir artifacts/icml2027/production_mmd/quick,.,2026-08-12T11:37:18.560052Z,2026-08-12T11:37:26.137050Z,7.576086,0,PASS,reports/icml2027/deep_repair/command_logs/0047_final_production_mmd_quick.stdout.log,reports/icml2027/deep_repair/command_logs/0047_final_production_mmd_quick.stderr.log,artifacts/icml2027/production_mmd/quick/summary.json,,,False
48,final_production_mmd_bounded_stress,python3 -m certgen icml2027 production-mmd validate --config configs/icml2027/production_mmd_validation_stress.yaml --out-dir artifacts/icml2027/production_mmd/bounded_stress,.,2026-08-12T11:37:26.224799Z,2026-08-12T11:37:38.307204Z,12.081645,0,PASS,reports/icml2027/deep_repair/command_logs/0048_final_production_mmd_bounded_stress.stdout.log,reports/icml2027/deep_repair/command_logs/0048_final_production_mmd_bounded_stress.stderr.log,artifacts/icml2027/production_mmd/bounded_stress/summary.json,,,False
49,final_icml_notebook_generation,python3 -m certgen icml2027 notebooks generate --root notebooks/kaggle/icml2027,.,2026-08-12T11:37:55.730713Z,2026-08-12T11:37:55.853238Z,0.121951,0,PASS,reports/icml2027/deep_repair/command_logs/0049_final_icml_notebook_generation.stdout.log,reports/icml2027/deep_repair/command_logs/0049_final_icml_notebook_generation.stderr.log,notebooks/kaggle/icml2027,,,False
50,final_icml_notebook_determinism,python3 -m certgen icml2027 notebooks check-determinism --root notebooks/kaggle/icml2027,.,2026-08-12T11:37:55.923719Z,2026-08-12T11:37:56.042245Z,0.118086,0,PASS,reports/icml2027/deep_repair/command_logs/0050_final_icml_notebook_determinism.stdout.log,reports/icml2027/deep_repair/command_logs/0050_final_icml_notebook_determinism.stderr.log,,,,False
51,final_icml_notebook_rehearsals,python3 -m certgen icml2027 notebooks rehearse --out-dir reports/icml2027/notebook_rehearsals,.,2026-08-12T11:37:56.112142Z,2026-08-12T11:37:56.234937Z,0.122378,0,PASS,reports/icml2027/deep_repair/command_logs/0051_final_icml_notebook_rehearsals.stdout.log,reports/icml2027/deep_repair/command_logs/0051_final_icml_notebook_rehearsals.stderr.log,"reports/icml2027/notebook_rehearsals/closure_rehearsals.csv,reports/icml2027/notebook_rehearsals/closure_rehearsals.summary.json",,,False
52,final_deep_repair_tests,pytest -q -o addopts= tests/icml2027/test_cifar_10k_v2.py tests/icml2027/test_multiplicity_end_to_end.py tests/icml2027/test_production_mmd_simulator_parity.py tests/icml2027/test_production_numerical.py tests/icml2027/test_production_paired_mmd.py tests/icml2027/test_report_namespaces.py tests/icml2027/test_theory_contract.py,.,2026-08-12T11:37:56.306284Z,2026-08-12T11:37:58.660921Z,2.354145,0,PASS,reports/icml2027/deep_repair/command_logs/0052_final_deep_repair_tests.stdout.log,reports/icml2027/deep_repair/command_logs/0052_final_deep_repair_tests.stderr.log,,,,False
53,final_compact_release_rebuild,python3 -m certgen release build-archive --out dist/certgen_icml2027_deep_repair_source.zip,.,2026-08-12T11:38:57.482297Z,2026-08-12T11:38:57.624724Z,0.141665,1,FAIL,reports/icml2027/deep_repair/command_logs/0053_final_compact_release_rebuild.stdout.log,reports/icml2027/deep_repair/command_logs/0053_final_compact_release_rebuild.stderr.log,"dist/certgen_icml2027_deep_repair_source.zip,dist/certgen_icml2027_deep_repair_source.zip.manifest.json",,,False
54,final_compact_release_rebuild_retry,python3 -m certgen release build-archive --out dist/certgen_icml2027_deep_repair_source.zip,.,2026-08-12T11:39:12.579715Z,2026-08-12T11:39:22.375781Z,9.795507,0,PASS,reports/icml2027/deep_repair/command_logs/0054_final_compact_release_rebuild_retry.stdout.log,reports/icml2027/deep_repair/command_logs/0054_final_compact_release_rebuild_retry.stderr.log,"dist/certgen_icml2027_deep_repair_source.zip,dist/certgen_icml2027_deep_repair_source.zip.manifest.json",,,False
55,final_reports_after_release,python3 scripts/icml2027/finalize_deep_repair.py,.,2026-08-12T11:39:33.881454Z,2026-08-12T11:39:33.956067Z,0.074172,0,PASS,reports/icml2027/deep_repair/command_logs/0055_final_reports_after_release.stdout.log,reports/icml2027/deep_repair/command_logs/0055_final_reports_after_release.stderr.log,"reports/icml2027/deep_repair/CERTGEN_DEEP_REPAIR_CURRENT_STATE.json,reports/icml2027/CERTGEN_ICML2027_CURRENT_STATE_V2.json,CERTGEN_CANONICAL_CURRENT_FILES.md,reports/icml2027/deep_repair/CERTGEN_DEEP_REPAIR_FINAL_AUDIT.md",,,False
56,seal_compileall,python3 -m compileall -q certgen scripts tests,.,2026-08-12T11:39:47.527017Z,2026-08-12T11:39:47.657339Z,0.129961,0,PASS,reports/icml2027/deep_repair/command_logs/0056_seal_compileall.stdout.log,reports/icml2027/deep_repair/command_logs/0056_seal_compileall.stderr.log,,,,False
57,seal_imports,python3 -c 'import certgen; import certgen.icml2027; import certgen.icml2027.production_mmd; import certgen.icml2027.notebook_runtime; import certgen.metrics.streams; import certgen.stats.reference_sampling',.,2026-08-12T11:39:47.734448Z,2026-08-12T11:39:47.840075Z,0.105229,0,PASS,reports/icml2027/deep_repair/command_logs/0057_seal_imports.stdout.log,reports/icml2027/deep_repair/command_logs/0057_seal_imports.stderr.log,,,,False
58,seal_ruff,python3 -m ruff check certgen scripts tests,.,2026-08-12T11:39:47.919209Z,2026-08-12T11:39:48.011421Z,0.091853,0,PASS,reports/icml2027/deep_repair/command_logs/0058_seal_ruff.stdout.log,reports/icml2027/deep_repair/command_logs/0058_seal_ruff.stderr.log,,,,False
59,seal_changed_mypy,python3 -m mypy --follow-imports=skip certgen/icml2027 certgen/metrics/kernels.py certgen/metrics/streams.py certgen/stats/reference_sampling.py certgen/stats/cs.py certgen/certs/api.py certgen/release/archive.py scripts/icml2027 tests/icml2027,.,2026-08-12T11:39:48.089783Z,2026-08-12T11:39:49.525637Z,1.435361,0,PASS,reports/icml2027/deep_repair/command_logs/0059_seal_changed_mypy.stdout.log,reports/icml2027/deep_repair/command_logs/0059_seal_changed_mypy.stderr.log,,,,False
60,seal_full_mypy_debt,python3 -m mypy certgen scripts,.,2026-08-12T11:39:49.611705Z,2026-08-12T11:40:05.299290Z,15.686924,1,EXPECTED_BOUNDARY,reports/icml2027/deep_repair/command_logs/0060_seal_full_mypy_debt.stdout.log,reports/icml2027/deep_repair/command_logs/0060_seal_full_mypy_debt.stderr.log,,,,False
61,seal_normal_pytest_after_reports,python3 -m pytest -q,.,2026-08-12T11:40:09.886769Z,2026-08-12T11:40:30.584282Z,20.696772,0,PASS,reports/icml2027/deep_repair/command_logs/0061_seal_normal_pytest_after_reports.stdout.log,reports/icml2027/deep_repair/command_logs/0061_seal_normal_pytest_after_reports.stderr.log,,,,False
62,seal_full_marker_pytest_after_reports,python3 -m pytest -q -m 'integration_audit or not integration_audit',.,2026-08-12T11:40:36.458417Z,2026-08-12T11:42:26.659717Z,110.199983,0,PASS,reports/icml2027/deep_repair/command_logs/0062_seal_full_marker_pytest_after_reports.stdout.log,reports/icml2027/deep_repair/command_logs/0062_seal_full_marker_pytest_after_reports.stderr.log,,,,False
