command_id,phase,command,working_directory,start_utc,end_utc,duration_seconds,exit_code,passed,failed,skipped_or_deselected,warnings,evidence_boundary
seal_integration,verification,"python3 -m pytest -q -m integration_audit",.,2026-07-18T04:46:48.890Z,2026-07-18T04:47:12.968Z,24.080,0,4,0,258,none,integration_validation_only
seal_focused,verification,"python3 -m pytest -q <statistical artifact runtime portable real-closure files>",.,2026-07-18T04:47:12.968Z,2026-07-18T04:47:17.358Z,4.390,0,66,0,0,none,focused_contract_validation_only
seal_final_closure,verification,"python3 -m pytest -q tests/test_final_run_ready_closure.py",.,2026-07-18T04:47:17.358Z,2026-07-18T04:47:18.872Z,1.510,0,8,0,0,none,builder_and_fixture_validation_only
seal_compile_import,verification,"python3 -m compileall -q certgen tests && python3 -c <10 critical imports>",.,2026-07-18T04:47:18.872Z,2026-07-18T04:47:19.146Z,0.270,0,11,0,0,none,software_validation_only
seal_ruff,verification,"python3 -m ruff check certgen tests",.,2026-07-18T04:47:19.146Z,2026-07-18T04:47:19.269Z,0.120,0,1,0,0,none,software_validation_only
seal_critical_mypy,verification,"python3 -m mypy --follow-imports=skip --ignore-missing-imports certgen/__main__.py certgen/cvpr certgen/notebooks/workers",.,2026-07-18T04:47:19.269Z,2026-07-18T04:47:19.466Z,0.200,0,34,0,0,none,software_validation_only
seal_full_mypy,debt_comparison,"python3 -m mypy certgen",.,2026-07-18T04:47:19.466Z,2026-07-18T04:47:34.154Z,14.690,1,0,111,0,34_files_exactly_matches_baseline,type_debt_inventory_only
seal_diff,verification,"git diff --check",.,2026-07-18T04:47:34.154Z,2026-07-18T04:47:34.331Z,0.180,0,1,0,0,none,patch_hygiene_only
seal_cvpr_audit,verification,"python3 -m certgen.audit.cvpr_final_audit",.,2026-07-18T04:47:34.331Z,2026-07-18T04:47:34.576Z,0.250,0,8,0,0,none,local_audit_only
seal_notebooks,verification,"python3 -m certgen audit notebooks",.,2026-07-18T04:47:34.576Z,2026-07-18T04:47:34.745Z,0.170,0,5,0,0,real_kaggle_untested,static_notebook_validation_only
seal_paper,verification,"pdflatex -interaction=nonstopmode -halt-on-error -output-directory=<temporary> main.tex",paper,2026-07-18T04:47:34.745Z,2026-07-18T04:47:34.938Z,0.190,0,1,0,0,three_nonfatal_overfull_boxes,document_build_only
seal_artifact_registry,verification,"python3 -m certgen audit artifact-registry",.,2026-07-18T04:47:57.972Z,2026-07-18T04:47:58.146Z,0.170,0,1,0,0,none,lineage_audit_only
seal_registries,verification,"python3 -m certgen audit registries",.,2026-07-18T04:47:58.146Z,2026-07-18T04:47:58.335Z,0.190,0,7,0,0,template_preregistration_unfrozen,registry_contract_only
seal_forensic,verification,"python3 -m certgen.audit.forensic_final_audit --json-out <temporary> --out <temporary>",.,2026-07-18T04:47:58.335Z,2026-07-18T04:47:58.511Z,0.180,0,8,0,0,none,local_audit_only
seal_v9,verification,"python3 -m certgen.audit.v9_execution_supercharger_audit --out <temporary> --json-out <temporary>",.,2026-07-18T04:47:58.511Z,2026-07-18T04:47:58.726Z,0.220,0,22,0,0,legacy_compatibility_only,local_audit_only
seal_firewall,verification,"python3 -m certgen.paper.v9_paper_firewall --out-json <temporary> --out-report <temporary>",.,2026-07-18T04:47:58.726Z,2026-07-18T04:47:58.877Z,0.150,0,1,0,0,none,claim_firewall_only
seal_release,verification,"python3 -m certgen.audit.release_safety_v5 --out <temporary> --json-out <temporary>",.,2026-07-18T04:47:58.877Z,2026-07-18T04:47:59.040Z,0.160,0,1,0,0,none,release_hygiene_only
seal_privacy,verification,"python3 -c <scan_privacy and fail on issues>",.,2026-07-18T04:47:59.040Z,2026-07-18T04:47:59.156Z,0.120,0,1,0,0,none,release_hygiene_only
seal_notebook_determinism,verification,"python3 -m certgen.notebooks.cvpr_factory twice and compare SHA-256",.,2026-07-18T04:47:59.156Z,2026-07-18T04:47:59.573Z,0.420,0,5,0,0,none,static_notebook_validation_only
seal_portable_archive,verification,"python3 -c <build_archive to temporary and verify import/tests/notebooks/synthetic runtime>",.,2026-07-18T04:49:14.274Z,2026-07-18T04:49:16.913Z,2.640,0,750,0,0,10_portable_tests_passed,release_validation_only
