account_fixture,stage,search_roots,package_form,mount_name,filename,nesting_depth,unrelated_candidates,selected_identity,selection_status,integrity_status,dependency_status,authenticated_before_import,exact_notebook_identity,dependency_restart_flow,asset_resolution_into_worker,output_identity,arbitrary_output_rename,local_resume_exact_import,result
account_beta,generation_output,fixture/account_beta,ZIP,copy-back,renamed-account_beta-generation-result.zip,4,19,8010b49c349de0ada1748f8dcd202d0bc9539f474854d629ffbc853a31237e65,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
account_beta,features_output,fixture/account_beta,ZIP,copy-back,renamed-account_beta-features-result.zip,4,19,4b54aa051ce119690242181fc119c0eef4e87a961f1805b582afed5a8a403795,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
account_beta,builder_faithful_rehearsal,fixture/account_beta/rehearsal,ISOLATED_WORKSPACE,random-slug,builder-closure,5,0,69aeff8054017f2eb488c4749807d995c6a61024f675f1e4165727fb8b535db6,COMPLETE_BUILDER_FAITHFUL_SYNTHETIC_REHEARSAL_PASS,PASS,27_BUILDER_STAGES_WITH_REAL_IMPORTERS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
account_gamma,diagnostic,fixture/account_gamma/diagnostic,EXTRACTED_DIRECTORY,project-copy,extracted-package,1,3,84f6f034e2375220f1b94433528b58d4ce6fe18778c7941f42afe11e140e9cfe,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS,PASS,PASS,PASS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PASS
account_gamma,preflight,fixture/account_gamma/preflight,EXTRACTED_DIRECTORY,project-copy,extracted-package,1,3,68e3d3098618b7be037ba8280bc0c18467cf9afad13a25ff9a29f5ada1141356,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS,PASS,PASS,PASS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PASS
account_gamma,generation,fixture/account_gamma/generation,EXTRACTED_DIRECTORY,project-copy,extracted-package,1,3,ce53ad7803f6eb80c16b8bb6ca6e6fea060aaeaa91c3c446dc06bf2c2f53da3f,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS,PASS,PASS,PASS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PASS
account_gamma,features,fixture/account_gamma/features,EXTRACTED_DIRECTORY,project-copy,extracted-package,1,3,1a8d2e97a21cfa3b1e91c42afca6ff85a7028c7bf49401dcde827ceb83d19b49,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS,PASS,PASS,PASS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PASS
account_gamma,diagnostic_output,fixture/account_gamma,ZIP,copy-back,renamed-account_gamma-diagnostic-result.zip,4,19,509c3863cf57ff16c2857ae75765faf7462d2ee7a268ecbfef4bdad08113ff52,SELECTED_UNIQUE_VALID_PACKAGE,PASS,DIAGNOSTIC_IMPORT_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
account_gamma,preflight_output,fixture/account_gamma,ZIP,copy-back,renamed-account_gamma-preflight-result.zip,4,19,795a4b1a6ec601e53fe82b81751705b00ffdf1851724f49cf3c5938fcde03834,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
account_gamma,generation_output,fixture/account_gamma,ZIP,copy-back,renamed-account_gamma-generation-result.zip,4,19,8010b49c349de0ada1748f8dcd202d0bc9539f474854d629ffbc853a31237e65,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
account_gamma,features_output,fixture/account_gamma,ZIP,copy-back,renamed-account_gamma-features-result.zip,4,19,4b54aa051ce119690242181fc119c0eef4e87a961f1805b582afed5a8a403795,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
account_gamma,builder_faithful_rehearsal,fixture/account_gamma/rehearsal,ISOLATED_WORKSPACE,project-copy,builder-closure,3,0,69aeff8054017f2eb488c4749807d995c6a61024f675f1e4165727fb8b535db6,COMPLETE_BUILDER_FAITHFUL_SYNTHETIC_REHEARSAL_PASS,PASS,27_BUILDER_STAGES_WITH_REAL_IMPORTERS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
account_delta,diagnostic,fixture/account_delta/diagnostic,ZIP,manual,renamed-package.zip,1,3,84f6f034e2375220f1b94433528b58d4ce6fe18778c7941f42afe11e140e9cfe,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS,PASS,PASS,PASS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PASS
account_delta,preflight,fixture/account_delta/preflight,ZIP,manual,renamed-package.zip,1,3,68e3d3098618b7be037ba8280bc0c18467cf9afad13a25ff9a29f5ada1141356,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS,PASS,PASS,PASS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PASS
account_delta,generation,fixture/account_delta/generation,ZIP,manual,renamed-package.zip,1,3,ce53ad7803f6eb80c16b8bb6ca6e6fea060aaeaa91c3c446dc06bf2c2f53da3f,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS,PASS,PASS,PASS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PASS
account_delta,features,fixture/account_delta/features,ZIP,manual,renamed-package.zip,1,3,1a8d2e97a21cfa3b1e91c42afca6ff85a7028c7bf49401dcde827ceb83d19b49,SELECTED_UNIQUE_VALID_PACKAGE,PASS,SYNTHETIC_MODES_VALIDATED_SEPARATELY,PASS,PASS,PASS,PASS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PASS
account_delta,diagnostic_output,fixture/account_delta,ZIP,copy-back,renamed-account_delta-diagnostic-result.zip,4,19,509c3863cf57ff16c2857ae75765faf7462d2ee7a268ecbfef4bdad08113ff52,SELECTED_UNIQUE_VALID_PACKAGE,PASS,DIAGNOSTIC_IMPORT_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
account_delta,preflight_output,fixture/account_delta,ZIP,copy-back,renamed-account_delta-preflight-result.zip,4,19,795a4b1a6ec601e53fe82b81751705b00ffdf1851724f49cf3c5938fcde03834,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
account_delta,generation_output,fixture/account_delta,ZIP,copy-back,renamed-account_delta-generation-result.zip,4,19,8010b49c349de0ada1748f8dcd202d0bc9539f474854d629ffbc853a31237e65,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
account_delta,features_output,fixture/account_delta,ZIP,copy-back,renamed-account_delta-features-result.zip,4,19,4b54aa051ce119690242181fc119c0eef4e87a961f1805b582afed5a8a403795,SELECTED_UNIQUE_VALID_PACKAGE,PASS,CONTENT_DISCOVERY_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
account_delta,builder_faithful_rehearsal,fixture/account_delta/rehearsal,ISOLATED_WORKSPACE,manual,builder-closure,3,0,69aeff8054017f2eb488c4749807d995c6a61024f675f1e4165727fb8b535db6,COMPLETE_BUILDER_FAITHFUL_SYNTHETIC_REHEARSAL_PASS,PASS,27_BUILDER_STAGES_WITH_REAL_IMPORTERS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
