command_id,command,working_directory,environment,start_utc,end_utc,duration_seconds,exit_code,passed,failed,skipped_or_deselected,warnings,output,evidence_boundary
closure_cvpr_audit,"python3 -m certgen.audit.cvpr_final_audit",.,"Python 3.11 local CPU",2026-07-16T05:55:11Z,2026-07-16T05:55:11Z,0.251,0,8,0,0,none,"8/8 passed; CVPR_RUN_READY_BLOCKED_BY_REFERENCE_INPUT","local audit only"
closure_forensic_audit,"python3 -m certgen.audit.forensic_final_audit --json-out <temporary> --out <temporary>",.,"Python 3.11 local CPU",2026-07-16T05:55:12Z,2026-07-16T05:55:12Z,0.201,0,8,0,0,none,"8/8 passed","local audit only"
closure_v9_audit,"python3 -m certgen.audit.v9_execution_supercharger_audit --out <temporary> --json-out <temporary>",.,"Python 3.11 local CPU",2026-07-16T05:55:12Z,2026-07-16T05:55:12Z,0.267,0,22,0,0,none,"22/22 passed","legacy compatibility audit only"
closure_paper_firewall,"python3 -m certgen.paper.v9_paper_firewall --out-json <temporary> --out-report <temporary>",.,"Python 3.11 local CPU",2026-07-16T05:55:12Z,2026-07-16T05:55:13Z,0.188,0,1,0,0,none,"passed; zero blockers","claim firewall only"
closure_final_execution,"python3 -m certgen.audit.final_execution_audit --out <temporary> --json-out <temporary>",.,"Python 3.11 local CPU",2026-07-16T05:55:13Z,2026-07-16T05:55:13Z,0.199,0,1,0,0,"honest expected blocker","BLOCKED_MISSING_REFERENCE_SAMPLES","execution-state audit only"
closure_artifact_registry,"python3 -m certgen audit artifact-registry",.,"Python 3.11 local CPU",2026-07-16T05:55:13Z,2026-07-16T05:55:13Z,0.214,0,1,0,0,none,"1 entry; zero errors","artifact-lineage audit only"
closure_registry_audit,"python3 -m certgen audit registries",.,"Python 3.11 local CPU",2026-07-16T05:55:13Z,2026-07-16T05:55:14Z,0.232,0,7,0,0,"preregistration remains deliberately unfrozen","7/7 registry contracts passed","registry validation only"
closure_release_safety,"python3 -m certgen.audit.release_safety_v5",.,"Python 3.11 local CPU",2026-07-16T05:55:14Z,2026-07-16T05:55:14Z,0.229,0,1,0,0,none,passed,"release hygiene only"
closure_privacy,"python3 -c <scan_privacy and fail on issues>",.,"Python 3.11 local CPU",2026-07-16T05:55:14Z,2026-07-16T05:55:14Z,0.160,0,1,0,0,none,"zero issues","release hygiene only"
closure_diff_check,"git diff --check",.,git,2026-07-16T05:55:14Z,2026-07-16T05:55:15Z,0.129,0,1,0,0,none,pass,"patch hygiene only"
closure_paper_first_attempt,"pdflatex -interaction=nonstopmode -halt-on-error -output-directory=/tmp/certgen_closure_paper main.tex",paper,"TeX Live 2026",2026-07-16T05:55:25Z,2026-07-16T05:55:25Z,0.060,1,0,1,0,"output directory did not yet exist; created and reran","no PDF produced","document build diagnostic only"
closure_paper,"pdflatex -interaction=nonstopmode -halt-on-error -output-directory=/tmp/certgen_closure_paper main.tex",paper,"TeX Live 2026",2026-07-16T05:55:34Z,2026-07-16T05:55:34Z,0.177,0,1,0,0,"3 nonfatal overfull boxes","5 pages; 179677 bytes","document build only"
archive_final_content_probe,"python3 -m certgen release build-archive --out <temporary>",.,"Python 3.11 local CPU",NOT_CAPTURED,NOT_CAPTURED,3.0,0,718,0,0,"tool wall time only; command timestamps not captured","ARCHIVE_VERIFIED; import 0; 10 portable tests; 5/5 notebooks; 21/21 synthetic stages","release validation only"
canonical_archive,"python3 -m certgen release build-archive --out dist/certgen_cvpr_reproducibility.zip",.,"Python 3.11 local CPU",RECORDED_ADJACENT_MANIFEST,RECORDED_ADJACENT_MANIFEST,RECORDED_ADJACENT_MANIFEST,0,718,0,0,"self-referential archive bytes are recorded outside the ZIP","see dist/certgen_cvpr_reproducibility.zip.manifest.json","release validation only"
rerun_20260721_compileall,python3 -m compileall -q certgen scripts tests,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:07:30.505013Z,2026-07-21T08:07:30.618539Z,0.113405,0,0,0,0,0,no console output,local-safe software validation only
rerun_20260721_imports,"python3 -c 'import certgen; import certgen.__main__; import certgen.cvpr.prepare; import certgen.cvpr.model_adapters; import certgen.cvpr.extractor_adapters; import certgen.cvpr.output_schemas; import certgen.cvpr.feature_merge; import certgen.cvpr.synthetic_runtime; import certgen.notebooks.cvpr_factory; import certgen.notebooks.subprocess_orchestrator; print(""imports_passed"")'",.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:07:36.035499Z,2026-07-21T08:07:36.244257Z,0.208389,0,0,0,0,0,imports_passed,local-safe software validation only
rerun_20260721_default_pytest,python3 -m pytest -q,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:07:40.506309Z,2026-07-21T08:07:52.003189Z,11.488930,1,278,1,4,0,"1 failed, 278 passed, 4 deselected in 10.16s",local-safe software validation only
rerun_20260721_archive_privacy_repair,python3 -m pytest -q tests/test_final_runtime_hardening.py::test_clean_archive_preserves_paths_and_excludes_metadata,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:08:33.441868Z,2026-07-21T08:08:34.776550Z,1.334535,0,1,0,0,0,1 passed in 0.32s,local-safe software validation only
rerun_20260721_default_pytest_after_ledger_fix,python3 -m pytest -q,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:08:38.412817Z,2026-07-21T08:08:48.942663Z,10.529566,0,279,0,4,0,"279 passed, 4 deselected in 9.38s",local-safe software validation only
rerun_20260721_integration_audit,python3 -m pytest -q -m integration_audit,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:09:04.137069Z,2026-07-21T08:09:44.947834Z,40.810582,0,4,0,279,0,"4 passed, 279 deselected in 40.38s",local-safe software validation only
rerun_20260721_statistical_lane,python3 -m pytest -q tests/test_confidence_sequences.py tests/test_mmd_streams.py tests/test_clean_core_certificate.py tests/test_reference_draw_plan.py tests/test_certificate.py tests/test_v4_batch_and_analysis.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:09:52.711370Z,2026-07-21T08:09:53.552935Z,0.841458,0,31,0,0,0,31 passed in 0.15s,local-safe software validation only
rerun_20260721_artifact_contract_lane,python3 -m pytest -q tests/test_cvpr_architecture.py tests/test_cvpr_extended_synthetic.py tests/test_feature_cache_v2_contract.py tests/test_final_runtime_hardening.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:09:57.886841Z,2026-07-21T08:10:01.756300Z,3.869340,0,25,0,0,0,25 passed in 3.16s,local-safe software validation only
rerun_20260721_runtime_closure_lane,python3 -m pytest -q tests/test_real_execution_closure.py tests/test_final_run_ready_closure.py tests/test_post_cache_final_closure.py tests/test_phase1_closure.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:10:07.749279Z,2026-07-21T08:10:12.706400Z,4.957015,0,25,0,0,0,25 passed in 4.26s,local-safe software validation only
rerun_20260721_readiness,python3 -m certgen readiness --explain,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:10:21.227427Z,2026-07-21T08:10:21.339489Z,0.111959,0,0,0,0,0,},local-safe software validation only
rerun_20260721_handoff_patch_tests,python3 -m pytest -q tests/test_real_execution_closure.py tests/test_final_runtime_hardening.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:15:17.710944Z,2026-07-21T08:15:20.242659Z,2.531613,0,19,0,0,0,19 passed in 2.12s,local-safe software validation only
rerun_20260721_identity_schema_tests,python3 -m pytest -q tests/test_real_execution_closure.py tests/test_final_run_ready_closure.py tests/test_post_cache_final_closure.py tests/test_phase1_closure.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:16:31.921947Z,2026-07-21T08:16:36.634700Z,4.712648,0,25,0,0,0,25 passed in 4.29s,local-safe software validation only
rerun_20260721_shared_schema_import_tests,python3 -m pytest -q tests/test_real_execution_closure.py tests/test_cvpr_architecture.py tests/test_v9_execution_supercharger.py tests/test_final_runtime_hardening.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:17:17.238421Z,2026-07-21T08:17:21.891914Z,4.653395,1,41,3,0,0,"3 failed, 41 passed in 4.05s",local-safe software validation only
rerun_20260721_shared_schema_import_tests_after_repair,python3 -m pytest -q tests/test_real_execution_closure.py tests/test_cvpr_architecture.py tests/test_v9_execution_supercharger.py tests/test_final_runtime_hardening.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:18:17.412254Z,2026-07-21T08:18:21.848039Z,4.435685,0,44,0,0,0,44 passed in 3.98s,local-safe software validation only
rerun_20260721_builder_faithful_after_schema,python3 -m pytest -q tests/test_final_run_ready_closure.py tests/test_post_cache_final_closure.py tests/test_phase1_closure.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:18:26.678145Z,2026-07-21T08:18:30.784685Z,4.106436,0,16,0,0,0,16 passed in 3.49s,local-safe software validation only
rerun_20260721_family_status_tests,python3 -m pytest -q tests/test_real_execution_closure.py::test_family_builder_uses_actual_registry_fields_and_full_cartesian_product tests/test_final_run_ready_closure.py::test_study_freeze_is_profile_bound_and_cli_surface_exists,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:18:49.925305Z,2026-07-21T08:18:50.505117Z,0.579708,0,2,0,0,0,2 passed in 0.15s,local-safe software validation only
rerun_20260721_strict_preflight_handoff_tests,python3 -m pytest -q tests/test_post_cache_final_closure.py tests/test_final_run_ready_closure.py tests/test_real_execution_closure.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:20:18.638603Z,2026-07-21T08:20:23.285397Z,4.646687,0,20,0,0,0,20 passed in 4.21s,local-safe software validation only
rerun_20260721_strict_extractor_handoff_tests,python3 -m pytest -q tests/test_post_cache_final_closure.py tests/test_final_run_ready_closure.py tests/test_real_execution_closure.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:20:56.161049Z,2026-07-21T08:21:00.909208Z,4.748051,0,20,0,0,0,20 passed in 4.17s,local-safe software validation only
rerun_20260721_adapter_semantics_tests,python3 -m pytest -q tests/test_real_execution_closure.py::test_text_adapter_applies_every_frozen_generation_parameter tests/test_real_execution_closure.py::test_unsupported_cfm_and_unknown_adapters_fail_before_packaging,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:21:38.530679Z,2026-07-21T08:21:39.053812Z,0.523023,0,2,0,0,0,2 passed in 0.11s,local-safe software validation only
rerun_20260721_resume_and_runid_tests,python3 -m pytest -q tests/test_real_execution_closure.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:22:03.740502Z,2026-07-21T08:22:05.447633Z,1.707027,0,11,0,0,0,11 passed in 1.10s,local-safe software validation only
rerun_20260721_touched_ruff,python3 -m ruff check certgen/cvpr/output_schemas.py certgen/cvpr/model_adapters.py certgen/cvpr/prepare.py certgen/cvpr/builder_faithful.py certgen/cvpr/synthetic_runtime.py certgen/notebooks/kaggle_io.py certgen/notebooks/final_zip.py certgen/notebooks/subprocess_orchestrator.py certgen/packaging/v9_import_repair.py scripts/real_execution_closure_runner.py tests/test_real_execution_closure.py tests/test_cvpr_architecture.py tests/test_v9_execution_supercharger.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:22:23.418365Z,2026-07-21T08:22:23.772901Z,0.354417,0,0,0,0,0,All checks passed!,local-safe software validation only
final_20260721_default_pytest,python3 -m pytest -q,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:22:28.668849Z,2026-07-21T08:22:38.899767Z,10.230812,0,281,0,4,0,"281 passed, 4 deselected in 9.58s",local-safe software validation only
final_20260721_integration_audit,python3 -m pytest -q -m integration_audit,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:22:46.119655Z,2026-07-21T08:23:28.436231Z,42.316446,0,4,0,281,0,"4 passed, 281 deselected in 41.89s",local-safe software validation only
final_20260721_statistical_lane,python3 -m pytest -q tests/test_confidence_sequences.py tests/test_mmd_streams.py tests/test_clean_core_certificate.py tests/test_reference_draw_plan.py tests/test_certificate.py tests/test_v4_batch_and_analysis.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:23:39.390602Z,2026-07-21T08:23:40.270767Z,0.879579,0,31,0,0,0,31 passed in 0.15s,local-safe software validation only
final_20260721_artifact_contract_lane,python3 -m pytest -q tests/test_cvpr_architecture.py tests/test_cvpr_extended_synthetic.py tests/test_feature_cache_v2_contract.py tests/test_final_runtime_hardening.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:23:40.351749Z,2026-07-21T08:23:44.263598Z,3.909914,0,25,0,0,0,25 passed in 3.19s,local-safe software validation only
final_20260721_runtime_closure_lane,python3 -m pytest -q tests/test_real_execution_closure.py tests/test_final_run_ready_closure.py tests/test_post_cache_final_closure.py tests/test_phase1_closure.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:23:44.344342Z,2026-07-21T08:23:49.583670Z,5.237404,0,27,0,0,0,27 passed in 4.52s,local-safe software validation only
final_20260721_archive_portable_tests,python3 -m pytest -q tests/test_archive_portable.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:23:49.665619Z,2026-07-21T08:23:50.168469Z,0.502585,0,1,0,0,0,1 passed in 0.09s,local-safe software validation only
final_20260721_synthetic_real_contract,python3 -m certgen synthetic-runtime --out-dir /tmp/certgen_closure_synthetic_final_20260721_0825,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:23:58.315207Z,2026-07-21T08:23:58.773359Z,0.457969,0,0,0,0,0,},synthetic_validation_only; not_model_evidence; claim_allowed=false
final_20260721_notebook_regeneration_determinism,"python3 -c 'from pathlib import Path; import hashlib; from certgen.notebooks.cvpr_factory import NOTEBOOK_SPECS, write_canonical_notebooks; write_canonical_notebooks(replace_generated=True); first={p:hashlib.sha256(Path(p).read_bytes()).hexdigest() for p in NOTEBOOK_SPECS}; write_canonical_notebooks(replace_generated=True); second={p:hashlib.sha256(Path(p).read_bytes()).hexdigest() for p in NOTEBOOK_SPECS}; assert first == second; print(""5/5 deterministic notebook regeneration passed"")'",.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:24:10.239169Z,2026-07-21T08:24:10.293566Z,0.054290,0,0,0,0,0,5/5 deterministic notebook regeneration passed,local-safe software validation only
final_20260721_notebook_static_audit,python3 -m certgen audit notebooks,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:24:16.579905Z,2026-07-21T08:24:16.693068Z,0.113044,0,0,0,0,0,},local-safe software validation only
final_20260721_cvpr_audit,python3 -m certgen.audit.cvpr_final_audit,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:24:35.077465Z,2026-07-21T08:24:35.220912Z,0.143341,0,0,0,0,0,cvpr_audit=True checks=8/8,local-safe software validation only
final_20260721_forensic_audit,python3 -m certgen.audit.forensic_final_audit --json-out /tmp/certgen_closure_forensic_final_20260721.json --out /tmp/certgen_closure_forensic_final_20260721.md,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:24:35.300405Z,2026-07-21T08:24:35.399103Z,0.098586,0,0,0,0,0,forensic_audit=True checks=8/8,local-safe software validation only
final_20260721_v9_compatibility_audit,python3 -m certgen.audit.v9_execution_supercharger_audit --out /tmp/certgen_closure_v9_final_20260721.md --json-out /tmp/certgen_closure_v9_final_20260721.json,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:24:35.477041Z,2026-07-21T08:24:35.627273Z,0.150123,0,0,0,0,0,},local-safe software validation only
final_20260721_paper_firewall,python3 -m certgen.paper.v9_paper_firewall --out-json /tmp/certgen_closure_paper_firewall_20260721.json --out-report /tmp/certgen_closure_paper_firewall_20260721.md,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:24:35.706376Z,2026-07-21T08:24:35.808955Z,0.102478,0,0,0,0,0,},local-safe software validation only
final_20260721_final_execution_audit,python3 -m certgen.audit.final_execution_audit --out /tmp/certgen_closure_final_execution_20260721.md --json-out /tmp/certgen_closure_final_execution_20260721.json,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:24:35.888815Z,2026-07-21T08:24:35.978960Z,0.090044,0,0,0,0,0,Final execution audit: BLOCKED_MISSING_REFERENCE_SAMPLES,local-safe software validation only
final_20260721_artifact_registry_audit,python3 -m certgen audit artifact-registry,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:24:36.058004Z,2026-07-21T08:24:36.165944Z,0.107824,2,0,0,0,0,},local-safe software validation only
rerun_20260721_artifact_registry_lifecycle_tests,python3 -m pytest -q tests/test_engineering_evidence_safety.py::test_artifact_registry_is_append_only_and_hash_verified tests/test_engineering_evidence_safety.py::test_artifact_registry_allows_explicit_nonretained_historical_entry,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:26:04.576984Z,2026-07-21T08:26:05.068087Z,0.490993,0,2,0,0,0,2 passed in 0.09s,local-safe software validation only
final_20260721_artifact_registry_audit_after_repair,python3 -m certgen audit artifact-registry,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:26:05.148737Z,2026-07-21T08:26:05.256814Z,0.107970,0,0,0,0,0,},local-safe software validation only
final_20260721_registry_audit,python3 -m certgen audit registries,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:26:05.335431Z,2026-07-21T08:26:05.460734Z,0.125202,0,0,0,0,0,},local-safe software validation only
final_20260721_release_safety,python3 -m certgen.audit.release_safety_v5,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:26:05.539971Z,2026-07-21T08:26:05.659716Z,0.119647,0,0,0,0,0,V5 release safety: passed,local-safe software validation only
final_20260721_privacy_scan,python3 -c 'from certgen.release.privacy_scan import scan_privacy; issues=scan_privacy(); print(issues); raise SystemExit(bool(issues))',.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:26:23.423695Z,2026-07-21T08:26:23.480045Z,0.056254,0,0,0,0,0,[],local-safe software validation only
final_20260721_license_field_scan,python3 -c 'from certgen.release.license_scan import scan_license_fields; issues=scan_license_fields(); print(issues); raise SystemExit(bool(issues))',.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:26:23.588745Z,2026-07-21T08:26:23.642428Z,0.053558,1,0,0,0,0,"['unknown license present in template: registry/reported_metric_claims_v4_template.csv', 'unknown license present in template: registry/released_sample_ledger_template.csv', 'unknown license present in template: registry/reported_metric_claims_v4_smoke.csv', 'unknown license present in template: registry/multibench/benchmark_availability_r3.csv', 'unknown license present in template: registry/provenance/released_sample_ledger_template.csv', 'unknown license present in template: registry/provenance/v4_plan_ledger_template.csv', 'unknown license present in template: registry/provenance/cifar10_r1_ledger.csv', 'unknown license present in template: registry/provenance/multibench_candidate_sources.csv', 'unknown license present in template: registry/v3/benchmarks_template.csv', 'unknown license present in template: registry/v3/model_pairs_template.csv', 'unknown license present in template: registry/v3/feature_caches_template.csv', 'unknown license present in template: registry/templates/ca",local-safe software validation only
final_20260721_ruff,python3 -m ruff check certgen tests scripts,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:26:33.856048Z,2026-07-21T08:26:33.911757Z,0.055589,0,0,0,0,0,All checks passed!,local-safe software validation only
