path,purpose,current_or_legacy,source_or_generated,evidence_class,safe_to_release,action_needed,tracked,ignored,size_bytes
certgen/cli/plan_first_pilot_v2.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,920
certgen/cli/r0_technical_audit.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,10995
certgen/cli/render_availability_table.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,704
certgen/cli/render_certificate_card.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,653
certgen/cli/render_pilot_report.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,636
certgen/cli/replay_certificate.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,769
certgen/cli/run_batch_certificates.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,709
certgen/cli/run_cifar10_real_pilot.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1491
certgen/cli/run_feature_extraction.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,3581
certgen/cli/run_first_pilot.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,821
certgen/cli/run_first_real_pilot.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,949
certgen/cli/run_optional_stopping_lab.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,709
certgen/cli/run_release_safety_scan.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1503
certgen/cli/run_reviewer_attack_harness.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1166
certgen/cli/run_v6_execution_gate.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,false,false,1784
certgen/cli/v1_audit.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,9648
certgen/cli/v2_audit.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,673
certgen/cli/v3_audit.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,671
certgen/cli/v3_intake_audit.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,774
certgen/cli/v4_audit.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,185
certgen/cli/v5_audit.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,193
certgen/cli/v5_state_intake.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,201
certgen/cli/validate_config.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2971
certgen/cli/validate_feature_cache.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1777
certgen/cli/validate_provenance_ledger.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1098
certgen/cli/validate_registry.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1044
certgen/cli/validate_reported_claims.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1409
certgen/cli/validate_repro_capsule.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1030
certgen/cli/validate_v3_registry.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,1427
certgen/commands/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,30
certgen/commands/generate_v5_command_bundle.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,3186
certgen/core/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,34
certgen/core/enums.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,3577
certgen/core/hashing.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1467
certgen/core/io.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,3826
certgen/core/provenance.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,986
certgen/core/status.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1712
certgen/data/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,66
certgen/data/autodetect_cifar10_root.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,4514
certgen/data/build_cifar10_r1_sample_package.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,7892
certgen/data/build_cifar10_reference_manifest.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,12280
certgen/data/cifar_reference_super_onramp.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,15894
certgen/experiments/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,50
certgen/experiments/optional_stopping_lab.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,5799
certgen/experiments/r1_cpu_validation.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,10058
certgen/features/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,41
certgen/features/cache_contracts.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,383
certgen/features/cache_schema.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,732
certgen/features/cache_v2.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,false,false,18731
certgen/features/cache_validate.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,5448
certgen/features/extract.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,5498
certgen/features/extract_clip.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,712
certgen/features/extract_dinov2.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,720
certgen/features/extract_inception.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,732
certgen/features/extractors/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,511
certgen/features/extractors/base.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,9095
certgen/features/extractors/clip.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2448
certgen/features/extractors/dinov2.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1871
certgen/features/extractors/inception.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2699
certgen/features/merge_shards.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,4690
certgen/features/preprocessing.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,581
certgen/features/split_by_role.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,7143
certgen/features/validate_cache.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2333
certgen/fixtures/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,49
certgen/fixtures/make_v2_feature_fixtures.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,2184
certgen/gates/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,51
certgen/gates/claim_gate.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2968
certgen/gates/evidence_classification.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,2462
certgen/gates/evidence_gate.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2641
certgen/gates/fid_policy_gate.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2329
certgen/generation/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,47
certgen/generation/checkpoint_adapters.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,1174
certgen/generation/generate_cifar10_diffusers.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,10341
certgen/generation/generate_samples.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,1103
certgen/generation/merge_sample_manifests.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,4493
certgen/generation/preflight_check_cifar10_checkpoints.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,1039
certgen/generation/validate_cifar10_generated_pilot.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,6286
certgen/literature/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,44
certgen/literature/claim_ingest.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1477
certgen/literature/claim_schema.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,606
certgen/literature/claim_trace.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1109
certgen/metrics/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,59
certgen/metrics/cmmd.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1049
certgen/metrics/fd_dinov2.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,843
certgen/metrics/fid.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1856
certgen/metrics/kernels.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,4991
certgen/metrics/kid.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,818
certgen/metrics/mmd.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2556
certgen/metrics/registry.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,3760
certgen/metrics/streams.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,9103
certgen/notebooks/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,37
certgen/notebooks/generate_feature_notebook.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1495
certgen/notebooks/v9_static_analyzer.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,6557
certgen/notebooks/validate_kaggle_notebooks.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,1591
certgen/packaging/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,114
certgen/packaging/artifact_registry.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,5962
certgen/packaging/build_kaggle_feature_input_zip.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,10020
certgen/packaging/build_kaggle_generation_input_zip.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,7066
certgen/packaging/common.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,13013
certgen/packaging/import_kaggle_feature_outputs.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,4774
certgen/packaging/import_kaggle_generation_outputs.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,4523
certgen/packaging/kaggle_dataset_manifest.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,1285
certgen/packaging/prepare_kaggle_dataset_folder.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,1407
certgen/packaging/v9_import_repair.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,15441
certgen/packaging/validate_cifar10_reference_manifest.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,5279
certgen/packaging/validate_kaggle_feature_output_zip.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,4986
certgen/packaging/validate_kaggle_generation_output_zip.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,7436
certgen/paper/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,31
certgen/paper/audit_result_injection_gate.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,1732
certgen/paper/result_injection.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,4591
certgen/paper/v9_paper_firewall.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,4792
certgen/pilot/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,38
certgen/pilot/first_pilot_v2.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,3544
certgen/pilot/orchestrator.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,5978
certgen/pilots/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,30
certgen/pilots/registry.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,4906
certgen/pipeline/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,38
certgen/pipeline/cifar10_real_pilot.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,26493
certgen/pipeline/first_real_pilot.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2044
certgen/pipeline/v6_execution.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,false,false,36258
certgen/pipeline/v9_execution_dashboard.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,4865
certgen/pipeline/v9_next_action.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,9007
certgen/pipeline/v9_runtime_budget_planner.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,3065
certgen/preprocess/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,27
certgen/preprocess/locks.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2300
certgen/provenance/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,42
certgen/provenance/ledger.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,926
certgen/provenance/real_run_plan.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,3811
certgen/registry/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,42
certgen/registry/provenance.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,4729
certgen/registry/schemas.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,975
certgen/registry/v3_schema.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,4257
certgen/registry/validate.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2860
certgen/registry/validate_multibench_candidates.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,1531
certgen/release/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,30
certgen/release/capsule.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1305
certgen/release/license_scan.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,477
certgen/release/privacy_scan.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,807
certgen/reporting/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,32
certgen/reporting/audit_summary.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,481
certgen/reporting/certificate_card.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2938
certgen/reporting/certificate_report.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1926
certgen/reporting/figures.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,463
certgen/reporting/optional_stopping_report.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1244
certgen/reporting/pilot_cards.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2976
certgen/reporting/result_cards.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,505
certgen/reporting/result_contracts.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,5187
certgen/reporting/tables.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,360
certgen/reporting/v2_summary.py,package implementation,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,182
certgen/review/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,31
certgen/review/attacks.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1673
certgen/review/reviewer_simulator.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2753
certgen/review/score_simulator.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,497
certgen/runledger/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,35
certgen/runledger/ledger.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,2658
certgen/runledger/render_dashboard.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,700
certgen/runledger/update_stage.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,1037
certgen/schemas/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,598
certgen/schemas/audit_record.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,364
certgen/schemas/certificate.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,516
certgen/schemas/comparison.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,296
certgen/schemas/dataset.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,288
certgen/schemas/feature_manifest.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,344
certgen/schemas/metric.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,279
certgen/schemas/model.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,262
certgen/stats/__init__.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,271
certgen/stats/bounds.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1712
certgen/stats/cs.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,7255
certgen/stats/dependence_diagnostics.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,1619
certgen/stats/design_contracts.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,2336
certgen/stats/e_values.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,3422
certgen/stats/optional_stopping_lab.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,4315
certgen/stats/reference_sampling.py,package implementation,current,source,NOT_EVIDENCE,true,none,false,false,9305
certgen/stats/streams.py,package implementation,current,source,NOT_EVIDENCE,true,none,true,false,938
certgen_prompt_pack_v1/00_GLOBAL_RULES_FOR_ALL_PROMPTS.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,3547
certgen_prompt_pack_v1/01_BOOTSTRAP_REPO_SCAFFOLD.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,3596
certgen_prompt_pack_v1/02_SCHEMAS_MANIFESTS_AND_CLAIM_GATES.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,4090
certgen_prompt_pack_v1/03_FEATURES_AND_METRICS_FOUNDATION.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,3909
certgen_prompt_pack_v1/04_CERTIFICATE_CORE_CLEAN_METRICS.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,3891
certgen_prompt_pack_v1/05_FID_POLICY_AND_DESCRIPTIVE_HANDLING.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,3041
certgen_prompt_pack_v1/06_PILOT_REGISTRY_AND_AUDIT_SCAFFOLD.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,3523
certgen_prompt_pack_v1/07_REPORTING_DOCS_REPRODUCIBILITY.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,3115
certgen_prompt_pack_v1/08_FINAL_V1_AUDIT_AND_HANDOFF.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,2635
certgen_prompt_pack_v1/09_ONE_SHOT_MEGAPROMPT_V1.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,5963
certgen_prompt_pack_v1/10_PROMPT_PACK_V1_CHANGELOG.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,984
certgen_prompt_pack_v1/CERTGEN_PROJECT_MASTER_CONTEXT.md,repository metadata or historical process artifact,legacy,source,NOT_EVIDENCE,false,retain_in_worktree_archive_from_public_release,true,false,28283
