path,git_mode,object_type,git_object_hash,size_bytes,baseline_commit,immutable_legacy,claim_allowed
artifacts/cvpr/kaggle_inputs/generation/EXPECTED_CONTENTS.json,100644,blob,00295e62b01deca2bcda31e7cc341bdf821ab5f9,446,64175fc355175ff316d0213c811d543865d119d2,True,False
artifacts/cvpr/kaggle_inputs/generation/README_BLOCKED.md,100644,blob,2577ddbe64d6d67b0d7cb8ca82acbcd434c844df,156,64175fc355175ff316d0213c811d543865d119d2,True,False
artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip,100644,blob,8fbd1814c9ed6922180b4f825da40a859112947f,650144,64175fc355175ff316d0213c811d543865d119d2,True,False
artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip.manifest.json,100644,blob,505278e1bd3fd3e05947e39eb8b0024134ac66d6,110072,64175fc355175ff316d0213c811d543865d119d2,True,False
artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip.sha256,100644,blob,ae2682069882a3f6a20975c134cf106dbee8cc79,99,64175fc355175ff316d0213c811d543865d119d2,True,False
artifacts/cvpr/study/cifar_integrity_minimal.yaml,100644,blob,de30656aae924c2200fb6e3a022f5a90fd83b2e2,5255,64175fc355175ff316d0213c811d543865d119d2,True,False
artifacts/max_ceiling/b6882b9e1be0b9f12868c47be44c0f41a522ed45c7a4529ceabd08f38cc991aa/replay/exact_commands.txt,100644,blob,014d91e785032a996b862414ef90ee66559f5deb,2151,64175fc355175ff316d0213c811d543865d119d2,False,False
artifacts/max_ceiling/b6882b9e1be0b9f12868c47be44c0f41a522ed45c7a4529ceabd08f38cc991aa/replay/invalidated_artifacts.json,100644,blob,595583820097041fc5bd96abcf2f0c6cc14dc31e,453,64175fc355175ff316d0213c811d543865d119d2,False,False
artifacts/max_ceiling/b6882b9e1be0b9f12868c47be44c0f41a522ed45c7a4529ceabd08f38cc991aa/replay/replay_plan.json,100644,blob,e984402189806d423b0a08680a8c6b51efd2aefa,1140,64175fc355175ff316d0213c811d543865d119d2,False,False
artifacts/max_ceiling/b6882b9e1be0b9f12868c47be44c0f41a522ed45c7a4529ceabd08f38cc991aa/replay/reusable_artifacts.json,100644,blob,bf9252317409228e9c05afbe52df4188868c62f1,48,64175fc355175ff316d0213c811d543865d119d2,False,False
artifacts/max_ceiling/b6882b9e1be0b9f12868c47be44c0f41a522ed45c7a4529ceabd08f38cc991aa/scale_plan.json,100644,blob,c04b507ba6979022826e7bbd4a1456b1a6784ec7,5167,64175fc355175ff316d0213c811d543865d119d2,False,False
artifacts/max_ceiling/b6882b9e1be0b9f12868c47be44c0f41a522ed45c7a4529ceabd08f38cc991aa/sensitivity_registry.json,100644,blob,c1a206e23ff20b3d93654bffce86d1a95eba5508,2249,64175fc355175ff316d0213c811d543865d119d2,False,False
certGen_report.md,100644,blob,2fb24980aeefa36b3e1650317557a6964f6de2d4,19425,64175fc355175ff316d0213c811d543865d119d2,False,False
certGen_report_v2.md,100644,blob,4248d854ed6fde42c34e5f86f31b2acd4cd4270a,26574,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/__init__.py,100644,blob,ba294e2d1c2a11e2c72484ed97de25e2972aaecd,46,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/__main__.py,100644,blob,3d696a4fc80d919a19d2a76d164838b4af9e38ce,61504,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/analysis/__init__.py,100644,blob,595d2d64ba0c9eae3ec12c74b7de43ea66bd3829,27,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/analysis/block_size_sensitivity.py,100644,blob,8a5a12c2eb1e368c9396a2c927e126970bab0ff2,4135,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/analysis/decidedness.py,100644,blob,c54ccf1afe4a8f31ec131b35c229e79cc01c5056,2083,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/analysis/ranking_stability.py,100644,blob,ab66261f1ba5ea374a195c3af1b8dd900e1996ef,1173,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/analysis/samples_to_decision.py,100644,blob,7da3a614e98a7f40ee01c5c257bc85838955dbec,1326,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/__init__.py,100644,blob,2d495ff2099fed2c9885a487cf80b5c2a6a92a10,34,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/analysis_plan_audit.py,100644,blob,333ff7b43848d08a30f66a57fecdd358ef03b667,4157,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/claim_contract.py,100644,blob,4785a9bbaca3934bc0880c6ddfe139b8d34638c3,8652,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/claim_trace_audit_v5.py,100644,blob,e5f0e15603259516b8dd4cd731ff2c1fbb044396,1670,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/cvpr_final_audit.py,100644,blob,62a8b51908268ddfad2221c88fb700e42f15be58,9016,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/cvpr_readiness.py,100644,blob,67493da7a29356c8e3cc978a5b2bffb1f1d05a17,3374,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/final_execution_audit.py,100644,blob,3ef74b2cc5a6a00f3f42c0aadeacd80e9df3ff56,683,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/final_pre_run_audit.py,100644,blob,dfb9e43b4339effa0478a41fcc5ddb4739b73c90,13211,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/forensic_final_audit.py,100644,blob,30566aa31b1bfd05a64a336d6b6d035f780f2114,9165,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/forensic_inventory.py,100644,blob,6479720b5ea147ed2f35d240145ae4fa21288abe,8467,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/metric_reproduction.py,100644,blob,53aa1a649cda4f26fa2f4b5eeb6449eda3a2e0ff,5694,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/paper_scaffold_audit.py,100644,blob,f3864e19659e8066403bc5594a640c86fded69b7,2420,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/preprocessing_lock_audit.py,100644,blob,2f52b30bc9c88fb84630f38bb2b61b57e377a3d4,388,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/proof_obligation_audit.py,100644,blob,71eb9cc626882aedc4931bafb0f3e6e4e218af2e,3909,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/r0_cpu_gpu_audit.py,100644,blob,6617e1d9631904c046f595966c8264be736da610,11780,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/r0_technical_correction_audit.py,100644,blob,098bde60d16bd5e258636614a9b8e7080d0c1b94,297,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/r1a_sample_materialization_audit.py,100644,blob,9e95bfb69dbe383222dc6b4ca48ff8ba4dca0cec,8027,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/r1b_generation_package_audit.py,100644,blob,9df0a6a44e4efd1230ec8e2386153c3d1f3d07e5,7586,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/r1e_first_pilot_audit.py,100644,blob,b16216960b24bc6d42c4983d6a087577f82f8c66,1693,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/related_work_audit.py,100644,blob,2a80aaae23d41bbd3d87a84e3022beeb53afce02,4405,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/release_safety_v5.py,100644,blob,3374d0a06e20188e17d6514093038491c00966b6,3656,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/result_contract_audit.py,100644,blob,a51e90eb4e8824b8b1e9926de0daa563cde684ae,1473,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/reviewer_harness_audit.py,100644,blob,334e352b968f77f4e55ee32f41d54ce8ec898872,2044,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/v2_audit.py,100644,blob,2a8dc483e5cd743cd4690b452d04b04003064900,7794,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/v3_final.py,100644,blob,1def231871392406b235db05ec7679718ce34eb3,11857,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/v3_intake.py,100644,blob,21355b7f242025037fe450fb1cfc6c575a3ff676,4807,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/v4_audit.py,100644,blob,bde2841610f3a36d217081868f9640637e8855b8,22193,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/v4_state_intake.py,100644,blob,b3b95e57b22b958de5f801b616a62078f9ea04e0,5368,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/v5_audit.py,100644,blob,5d74fe0db78b22072a0a1c37209ba4856f7af8c8,11514,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/v5_state_intake.py,100644,blob,66c7bc82d7f2362497eba5c5dc82d5bb3705dedd,7422,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/v7_execution_development_audit.py,100644,blob,9e3eb0d1efd65543d1d0fd8164202dff41356024,3356,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/audit/v9_execution_supercharger_audit.py,100644,blob,2d4b2f6474d617e51e40ac951cc991fe3184bd20,10880,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/certs/__init__.py,100644,blob,dc193682bed213c3b4c22be95600bf4356db88c5,36,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/certs/api.py,100644,blob,efbc1ebc45d55fdf78a4053aa1d9f144015c77ba,12461,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/certs/batch_certificate.py,100644,blob,9d3833663b2d8a38c5c70b0b0fc02f53c1d105cc,3814,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/certs/clean_core.py,100644,blob,b5eac18b422aac25139a20c7d5bcf302fa61b7be,3134,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/certs/confidence_sequence.py,100644,blob,eeff1fc62b44a5b5c61dac9985a48dabcc0a4a45,2806,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/certs/decision.py,100644,blob,7d6d84715aeb2ac885eea1fb4ad3c2ce6f26de4d,4486,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/certs/fid_policy.py,100644,blob,02bd86b2409265c179bf97eacd8cd91442f50f9d,1421,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/certs/io.py,100644,blob,ae89864d93217b175f74ee14e05ce437451137d9,2535,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/certs/multiple_comparisons.py,100644,blob,6d8004ab71ecd5b4ba09ec57a4ee0c0fe74bf162,5173,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/certs/replay.py,100644,blob,e6e11fa2c8ae1d92cd91ccad8fe5f1631f3b81ba,3581,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/certs/sensitivity.py,100644,blob,0573c7c70bec53dfb5595f845818a62abb62eac1,892,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/certs/stopping.py,100644,blob,fd22165c0cf7840d0799946930e1f3b27e15f5f7,387,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/__init__.py,100644,blob,e770384c738dfbc143ee721b281de8b3a56a75c6,45,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/audit_metric_reproduction.py,100644,blob,acb0afea7ab26a561954f683e83a22d2073b92b2,782,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/build_decidedness_audit.py,100644,blob,b6dff57a60b1191bcbfef5e76d65bf01ff67719e,788,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/build_paper_artifacts.py,100644,blob,d2fd579676f8d1c02f780dc2707ed28e7f7a2fe7,1515,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/build_ranking_stability_report.py,100644,blob,ec6b86ce82843d1cb6bd5c3013a347d7b61accba,714,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/build_real_run_plan.py,100644,blob,5986e97f6340f2616193dbb1514b4b30667945f2,908,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/build_reference_draw_plan.py,100644,blob,8e37b65c275b6c2c885762623d3addc776049b38,1937,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/certify_clean_metric.py,100644,blob,b29917f79bd235bcc1b4754aa90117067c2fc24e,2667,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/check_fid_policy.py,100644,blob,ffe85358264d072c6b2edd808caca1e3864cc2e0,707,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/generate_feature_notebook.py,100644,blob,71572a1851aaa26fc1ecced12994a1a6d6d855ad,854,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/lock_preprocessing.py,100644,blob,f32cb1c30c77394f9a468445eb6958422ff6346f,726,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/make_smoke_artifacts.py,100644,blob,c56b1afdf0d6685687af8a83ab6c9c986647bd74,8550,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/plan_feature_extraction.py,100644,blob,5be19f215ecedc7c638bbb279a3004ad21db8bbb,2693,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/plan_first_pilot.py,100644,blob,c015dfedd210a137eaebb44f8f6fcd171787f8a6,1098,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/plan_first_pilot_v2.py,100644,blob,fa210fffdb98e60da9f338b93612532cdbfbbf6d,920,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/r0_technical_audit.py,100644,blob,b29e1c22323339e638ccd11b50e87ce8000314e3,10995,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/render_availability_table.py,100644,blob,c30aa22a67876af417444271ed1d5e9f6775df9f,704,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/render_certificate_card.py,100644,blob,70c010b9fbd9dd41553a734f0f458961685be7d1,653,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/render_pilot_report.py,100644,blob,6dace748ab9a0f9eb487460aca4923fb5ee2a42e,636,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/replay_certificate.py,100644,blob,333e72e63d1274febc55f4c624edd856c444f6c4,769,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/run_batch_certificates.py,100644,blob,c8e8cb0e364a42ec87826f9f16a5dda404ae84ac,709,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/run_cifar10_real_pilot.py,100644,blob,bcd59926b9c25eee27abe6fdd4244e7154fc12ab,1491,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/run_feature_extraction.py,100644,blob,8c22e60bbd4cf0a0b9d36af888a29ee59199e61b,3581,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/run_first_pilot.py,100644,blob,358623bc3e03e3c38b1bbae73b997b9014fb92d5,821,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/run_first_real_pilot.py,100644,blob,199b4e00a671a9293662434aa96b3587ef62c2c4,949,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/run_optional_stopping_lab.py,100644,blob,6c185a570069d0a671405030c8cb484db11b05a0,709,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/run_release_safety_scan.py,100644,blob,54c9fef3898b20420ad90f0eea7b9581f804c8e7,1503,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/run_reviewer_attack_harness.py,100644,blob,bc5c36da5dda9963cfae33511fbe142ddefd0253,1166,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/run_v6_execution_gate.py,100644,blob,4c9238010d54b90fbac7d80298b63a48e15419da,1784,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/v1_audit.py,100644,blob,8be516e7b2f235afddc82b13f94751a8b64012f7,9648,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/v2_audit.py,100644,blob,76764ecb5f32f3be41ef54b3ab470934cca762c0,673,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/v3_audit.py,100644,blob,12725861f5f12b7a790265c35d91beed91030f6c,671,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/v3_intake_audit.py,100644,blob,09d4120a38a8d0f736db21ef2697bac0429bf261,774,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/v4_audit.py,100644,blob,e444fa8fb0af2f200e8877ea629be0008eb7e12f,185,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/v5_audit.py,100644,blob,6ef60b0dcd59bab55cd6871488388d5c5e546c93,193,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/v5_state_intake.py,100644,blob,f9b2cadb1ace8d757c1ae49601c4660a5b5e3b12,201,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/validate_config.py,100644,blob,e5a7deef65e097551fa10c0d013b119f07f05ad0,2971,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/validate_feature_cache.py,100644,blob,a8b6db0c96aefb40e10a9362899d4e6646a71a48,1777,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/validate_provenance_ledger.py,100644,blob,5ccf6180bfe5f2db463d57116eb79b1416848b22,1098,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/validate_registry.py,100644,blob,4943e7e538c2bab15212c4d0ecb17213d07b50aa,1044,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/validate_reported_claims.py,100644,blob,f3306e4c2312de868c10d1a7b53d494f84237d26,1409,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/validate_repro_capsule.py,100644,blob,7501de233e25b8d98531f14a1e8c0e78dd34667c,1030,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cli/validate_v3_registry.py,100644,blob,585129fdb3957b46a536ad33d50358658d2c8a75,1427,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/commands/__init__.py,100644,blob,d32f3b8e44802da0921606cfc9146cb2ea05dc83,30,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/commands/generate_v5_command_bundle.py,100644,blob,ce3c2c5d88aed6ca612d3c30d0d68a7adf3a6605,3186,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/core/__init__.py,100644,blob,3a3d895eb8749313c952fedd886a2f4af0c16735,34,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/core/enums.py,100644,blob,e80f57dff76df85170db2759a823a9879ef9a5b6,3577,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/core/hashing.py,100644,blob,00feff5cb948d05d5900b2fd183a190b6265a3e8,1499,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/core/io.py,100644,blob,e4f49299e44a3ce089492435a08728ac8adb3a85,3826,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/core/provenance.py,100644,blob,048ff83d3112899b905f62a82517e4b470932608,986,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/core/status.py,100644,blob,b400497c845427f530c31654d9de6aa38917a630,1712,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cvpr/__init__.py,100644,blob,ff109a93d314af72a04d93ab0dd3f447a846a124,376,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cvpr/adapter_conformance.py,100644,blob,b508df7abb74584a0f2a39a7be144c9301e27bef,5908,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cvpr/analysis.py,100644,blob,89babe9622bc69750704e7a97c29af5f2217e428,15293,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cvpr/builder_faithful.py,100644,blob,897677a641fd9dc8c5efa5f82ac92a3bb6c1ef34,32876,64175fc355175ff316d0213c811d543865d119d2,False,False
certgen/cvpr/certificate.py,100644,blob,a690596115ccabdd462e6df9cd5564bda3ec44a8,17694,64175fc355175ff316d0213c811d543865d119d2,False,False
