ablation_id,interpolation,antialias,spatial_policy,pixel_normalization,feature_l2,metric_dtype,preprocessing_hash,registered_ablation_only,confirmatory_protocol_mutated,planning_only,claim_allowed
preprocess_043,bilinear,False,resize_only,unit_interval,False,float64,9c743532c4973366ec77d2b32f7cce95bd3ae062699ff1efa9d475e3c86b7d3a,True,False,True,False
preprocess_044,bilinear,False,resize_only,minus_one_to_one,True,float32,2dfaa4f1b850d12defdf8f6fc15d274f0c4e2b3a98167a4b1c2cd8d860ee9652,True,False,True,False
preprocess_045,bilinear,False,resize_only,minus_one_to_one,True,float64,4b769fff583c3d40e01a108e343ee4ef71be5dbe4efd579ddcfe2a8acba20167,True,False,True,False
preprocess_046,bilinear,False,resize_only,minus_one_to_one,False,float32,2decc7d1c69bea61d261bfd1b59c348d5402f3505dcb68444867da70d85f87e2,True,False,True,False
preprocess_047,bilinear,False,resize_only,minus_one_to_one,False,float64,205bddc4ae4664aca075d90d8b7aa2190227b204809ebd19292331155ddd6ef5,True,False,True,False
preprocess_048,bicubic,True,center_crop,extractor_default,True,float32,9bcc082089548b108b13c61f52c02c997ed7e00322a065da9343bca5cf51c1ea,True,False,True,False
preprocess_049,bicubic,True,center_crop,extractor_default,True,float64,c805f1f71bb631db4cab8b88e3b3a95302fdacf2e7a38867ceb59aff3db23d92,True,False,True,False
preprocess_050,bicubic,True,center_crop,extractor_default,False,float32,ffb81b8dc7c767a07aac70e0e2a80f6ece6e402ac1470dcfb3b29a411b4bd425,True,False,True,False
preprocess_051,bicubic,True,center_crop,extractor_default,False,float64,e01d287708dc6aba314ec6c65047e091121ac8a559025328711b9d2b9099968f,True,False,True,False
preprocess_052,bicubic,True,center_crop,unit_interval,True,float32,8042b04e259aae6b356879c02894e30685ac1bce3b6063d986561124eab6be44,True,False,True,False
preprocess_053,bicubic,True,center_crop,unit_interval,True,float64,2e123e534e6fcb55c2d361a49af573c0f7f33862da7f4a7ba9029c2e3133a093,True,False,True,False
preprocess_054,bicubic,True,center_crop,unit_interval,False,float32,254e57bbb11f2952d0eaffa5362ae95843290d4f56a7c50cfa51163bbfed0103,True,False,True,False
preprocess_055,bicubic,True,center_crop,unit_interval,False,float64,a43244bd74ef19efb7885d77f564140d5a3fb58880df1c1bedf9f556dab80495,True,False,True,False
preprocess_056,bicubic,True,center_crop,minus_one_to_one,True,float32,57eb9d45b3cbdba5434364a1e4600f46e8a7ca107aa3a55cec37d5721f905abc,True,False,True,False
preprocess_057,bicubic,True,center_crop,minus_one_to_one,True,float64,2fd0a8f42821b32cbda356a598fcf6e60b6891689a1838a7432c971bc8989c5c,True,False,True,False
preprocess_058,bicubic,True,center_crop,minus_one_to_one,False,float32,1b4e20f92fcfd0ae548f6b23fdadc73c449118ae00ef41be3b65e4cba6189b00,True,False,True,False
preprocess_059,bicubic,True,center_crop,minus_one_to_one,False,float64,cd442a965d4800e35b1e210189a1adb00f5421a6486e93db138f4f1df7bd3f16,True,False,True,False
preprocess_060,bicubic,True,resize_only,extractor_default,True,float32,e918b1b063cc59780e6f6e5a379c984e2597169370797788768da6af03ba5ee8,True,False,True,False
preprocess_061,bicubic,True,resize_only,extractor_default,True,float64,1bf8e85bbd67af1829563518c512d4ad73f47281b81bd163fa2e7b6f8cb3f39b,True,False,True,False
preprocess_062,bicubic,True,resize_only,extractor_default,False,float32,e493aa23f8dedcb8419d24da2bbd9d3fcf3b10ba95376fb8949fc619ed317cc0,True,False,True,False
preprocess_063,bicubic,True,resize_only,extractor_default,False,float64,60458e5017145760b85415a101fd4d5f88e4dc6ba884f4d9aefe2a71e5a95f41,True,False,True,False
preprocess_064,bicubic,True,resize_only,unit_interval,True,float32,060ef1c4ca9fe64aa09e9b19960070e035a09070570b6e53783bb6c91b579695,True,False,True,False
preprocess_065,bicubic,True,resize_only,unit_interval,True,float64,1b3be91429bf71824ab6bc8fababb598037105152e3ff0cd2ff282b2a0f30508,True,False,True,False
preprocess_066,bicubic,True,resize_only,unit_interval,False,float32,668a28de249b782d13c92f75e3973ffb248b43790dbbead3a683e2ef9ccd038f,True,False,True,False
preprocess_067,bicubic,True,resize_only,unit_interval,False,float64,c35de5f5b6b65daf8535aaddacde3961ca9f52d963346924c32f007e016c4ba8,True,False,True,False
preprocess_068,bicubic,True,resize_only,minus_one_to_one,True,float32,d137042e5586e97628ccc5a113ac7ee0c8c5f130f702eb605cbace3ec9ac7e4d,True,False,True,False
preprocess_069,bicubic,True,resize_only,minus_one_to_one,True,float64,d2a6198502b0a3c6c3bac4c0bd86b8950829ec6e950d5347910259c295aaf026,True,False,True,False
preprocess_070,bicubic,True,resize_only,minus_one_to_one,False,float32,fde88520d8da560359166e0a743ad0369c7e5a46bb68f57c980374eef4027e75,True,False,True,False
preprocess_071,bicubic,True,resize_only,minus_one_to_one,False,float64,f5863d6352ed3190870c8526fd5ce6a205176ec4a7fa127e755c3580523aead0,True,False,True,False
preprocess_072,bicubic,False,center_crop,extractor_default,True,float32,e17a7b300775a1f4a3e421bdf5f6b9926b8f3322a5381984969306eb03980c6e,True,False,True,False
preprocess_073,bicubic,False,center_crop,extractor_default,True,float64,05c4e11cbe5a5a4da5d850761f8141245acc6eee2988793ee62e50e0acbb332b,True,False,True,False
preprocess_074,bicubic,False,center_crop,extractor_default,False,float32,4df7f6a9ca28a7b2d4874a862877f32bb0f1026b4817492d7154d4e014a8ae2c,True,False,True,False
preprocess_075,bicubic,False,center_crop,extractor_default,False,float64,b9cfd4e3bf7d9921f670a783f5b6cfb1a01f5cd5b48ac433e34d7782b1314249,True,False,True,False
preprocess_076,bicubic,False,center_crop,unit_interval,True,float32,52dc457a17a472afe0538c2671dbb9dd701eb285cedae3d27491c1a7bd52f9ca,True,False,True,False
preprocess_077,bicubic,False,center_crop,unit_interval,True,float64,37938944e336a1717ddc89786f8b3e27167408c1d21ee1e916d7761e11ceedd5,True,False,True,False
preprocess_078,bicubic,False,center_crop,unit_interval,False,float32,70b8c91ccf0cbe3cbea8368e297a969ca1ac148ee20be9daae3b8bd246b1b111,True,False,True,False
preprocess_079,bicubic,False,center_crop,unit_interval,False,float64,381a6a5ff3dcb9e62755e390c961c9420b94bb380b9a223b161e61df916c8d9b,True,False,True,False
preprocess_080,bicubic,False,center_crop,minus_one_to_one,True,float32,9e8874d5b07f0b1869db69f37adbcfb045f92e179c9680978ef30346008e8d22,True,False,True,False
preprocess_081,bicubic,False,center_crop,minus_one_to_one,True,float64,9b45ef2c58ba9aafae772bac53df38c09029bde221ea50d688d559c8f201c818,True,False,True,False
preprocess_082,bicubic,False,center_crop,minus_one_to_one,False,float32,a83efb3697e640cddc7b9dd2f800405182e1bc3bfb971ea1e115e40720389af3,True,False,True,False
preprocess_083,bicubic,False,center_crop,minus_one_to_one,False,float64,a6bda3dc6076b40de052f0a64bc1debb7103f2a27c64a728f6058ebc8bcf60f2,True,False,True,False
preprocess_084,bicubic,False,resize_only,extractor_default,True,float32,01e430bd3ac580f8ba0148c50f2d05e75d9ab44a33b636dd817d4585d0922ad2,True,False,True,False
preprocess_085,bicubic,False,resize_only,extractor_default,True,float64,ae433a6ff8fe59fff93c8175b73592301ec3109aa26a1397bc097be817435a14,True,False,True,False
preprocess_086,bicubic,False,resize_only,extractor_default,False,float32,77f97e184347d0fc80e395a46fb9f7484d711c9066e7867b6ee2e35a499cc22e,True,False,True,False
preprocess_087,bicubic,False,resize_only,extractor_default,False,float64,452102d8ada4826ddf82e1015710491a05d394bf8976dc48172203e1516ffa21,True,False,True,False
preprocess_088,bicubic,False,resize_only,unit_interval,True,float32,841b11ff90676c74437b57606950bca6f72d90088081ec7dae61d906de4440db,True,False,True,False
preprocess_089,bicubic,False,resize_only,unit_interval,True,float64,b2067686e363acc913f6104627e7cafb47207478288a2cc7ea3f60b0e7a286e5,True,False,True,False
preprocess_090,bicubic,False,resize_only,unit_interval,False,float32,5ad12ffcf1ccde9b4d3c2b6f1b0dac9c6db67d0cd8821939ab01aa3765eec788,True,False,True,False
preprocess_091,bicubic,False,resize_only,unit_interval,False,float64,80fdf445cd423600996df367f3e7705025311ceeca9751b39b0790c5f7e7fe69,True,False,True,False
preprocess_092,bicubic,False,resize_only,minus_one_to_one,True,float32,37aaef3a58545447be4f2c15e8e9cf9dba3c4b203c3ae52a725a95b2930f706f,True,False,True,False
preprocess_093,bicubic,False,resize_only,minus_one_to_one,True,float64,6e3ccdf8c61b11bbf7e8b00d3c5c5f38fe46f7eb6ba508e583df08d56d5e036c,True,False,True,False
preprocess_094,bicubic,False,resize_only,minus_one_to_one,False,float32,6208158177137eb9f33ebf41e790c9582a801477e05e5fb45deac3fe5cad3adf,True,False,True,False
preprocess_095,bicubic,False,resize_only,minus_one_to_one,False,float64,59cf79d3c4cb4e061861c414adafe9fdea71d531c8ea274c55f7d0c023e2c5ec,True,False,True,False
